Sample Name,biofilm_mass _micrometer_cubed_by_micrometer_squared,biofilm_biomass_mean_thickness_micrometer,biofilm_surface_area_coverage_percent
A1,0.13286,16.80154,3.78
A2,0.05941,8.1608,2.62
A3,0.84977,8.94968,25.27
A4,0.44409,5.74126,16.77
A5,0.02789,8.51739,1.84
A6,0.212,8.15891,8.51
A7,0.18768,8.58077,9.82
A8,0.13938,4.9148,9.64
A9,0.56252,7.72452,15.44
A10,0.54701,13.34436,12.44
A11,0.96668,7.50641,27.8
A12,0.71491,6.76449,22.46
A13,0.32187,9.39858,9.37
A14,1.14274,18.30887,24.64
A15,0.32015,6.66281,14.06
A16,0.64447,7.68961,15.32
A17,0.14239,5.67387,6
A18,0.16664,8.99367,7.51
A19,0.33553,4.09703,17.16
A20,0.83262,6.23025,36.52
A21,0.32628,5.67624,11.32
A22,0.22356,9.12018,6.39
A23,0.03991,16.23598,1.64
A24,0.01867,7.37016,1.43
B1,0.14552,8.01007,5.71
B2,0.05458,6.99612,1.6
B3,1.94931,16.26002,48.06
B4,0.02424,6.36058,1.56
B5,0.87953,16.73658,20.43
B6,0.32626,18.03886,11.97
B7,0.02768,9.62521,1.26
B8,0.63321,6.53894,29.41
B9,0.38503,22.88267,10.73
B10,1.0543,14.86796,33.41
B11,0.17466,8.424,5.15
B12,0.66286,6.67844,17.8
B13,0.17857,17.57559,5.82
B16,0.70445,9.31877,28.8
B17,0.12586,6.35207,4.63
B18,2.61538,44.23816,40.7
B19,0.00207,5.40119,0.21
B20,0.06772,43.54964,2.12
B21,1.39145,10.24927,37.46
B23,0.05233,8.32755,1.87
B24,0.43772,14.84904,10.59
E1,0.34913,10.89117,11
E4,0.09068,7.88609,3.87
E5,0.10274,6.56254,5.67
E6,0.12149,7.36123,5.59
E7,0.18227,5.30981,8.05
E8,0.27101,9.72941,9.1
E10,0.18571,8.81838,6.52
E11,0.00625,4.58703,0.43
E12,0.06467,10.98534,2.25
E13,0.09877,7.29968,3.99
E14,0.0326,10.73899,1.44
E15,0.14051,5.62124,6.98
E16,0.15751,10.58428,4.02
E17,0.11923,9.70004,3.52
E18,0.51068,10.39466,13.14
E19,1.50561,11.00005,40.28
E20,0.74188,7.57315,17.89
E21,0.68105,6.3821,22.99
E22,0.90496,15.47221,26.88
E23,0.38911,10.47321,11.56
E24,0.83827,8.9181,19.65
F1,0.11661,11.89662,2.82
F2,0.14763,13.10467,4.71
F3,0.148,9.71751,5.81
F4,0.09383,27.87738,3.9
F5,0.55847,8.76015,17.78
F6,0.58262,10.73706,19.28
F7,0.08576,8.56999,2.68
F8,0.00613,6.58192,0.38
F9,0.57483,7.02557,26.47
F10,0.00552,5.12632,0.55
F11,0.36317,7.07791,14.53
F12,0.20165,12.60347,6.97
F13,0.57909,11.53293,17.19
F14,0.00979,18.45313,0.52
F15,0.48436,9.92508,15.81
F16,0.3544,11.80941,14.25
F17,0.60612,11.76641,18.29
F18,0.03221,10.27037,0.93
F19,0.32987,8.95643,10.66
F20,0.63959,8.69951,23.66
F21,0.60634,11.3926,15.36
