Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Growth Environment]	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Media Information]	Parameter Value[Growth Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
A1	A1	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Carbon Fiber	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A2	A2	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Carbon Fiber	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A3	A3	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Quartz	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A4	A4	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A5	A5	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Quartz	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A6	A6	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Silicone	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A7	A7	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A8	A8	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A9	A9	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Quartz	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A10	A10	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Silicone	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
